cypressVersion,browserName,browserVersion,osName,resolvedNodeVersion,overallDuration,video,noCommandLog
10.7.0,electron,102.0.5005.148,win32,18.12.1,172548,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171814,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171772,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,172671,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,173581,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,174662,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,173719,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,174970,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,173459,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,174073,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,173349,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,174787,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,174180,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,173617,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,173846,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,177274,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,177713,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,172680,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,172305,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,173530,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,175662,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,175930,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,176058,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,173856,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,175350,false,0
